ID,SalePrice
2303,180821.62280735286
2304,134970.80285646176
2305,384844.0502175625
2306,324394.34935530514
2307,105118.28235000072
2308,111002.94294026657
2309,171081.74920828638
2310,151345.07327862247
2311,156648.71291717264
2312,100506.90566656782
2313,123696.1883868854
2314,128512.63773691181
2315,247355.71775778194
2316,164586.8583908978
2317,226623.6427744316
2318,354039.57694070204
2319,207685.2802124737
2320,379277.7684860321
2321,181087.22840004886
2322,205667.60661747973
2323,193878.51474281642
2324,274476.78469514416
2325,158592.18522063945
2326,154841.8974295218
2327,148058.49654674856
2328,148484.78979054507
2329,218602.2335835361
2330,330872.90890864655
2331,202317.3786379229
2332,86912.90325398478
2333,336840.02638086426
2334,330929.1104734171
2335,225981.03746199684
2336,323742.01338596694
2337,225727.06572846713
2338,177757.49340880496
2339,130120.1639873566
2340,530329.509100991
2341,220667.7361822073
2342,283463.61763944593
2343,255017.5908651106
2344,154808.89648700762
2345,283201.9994142529
2346,171590.91305262726
2347,147100.444761371
2348,190683.72374103477
2349,184212.95198509234
2350,168335.58132181218
2351,181840.784853356
2352,271361.1505378733
2353,316995.9698931318
2354,100017.4103406841
2355,291691.1192683881
2356,120216.38572670559
2357,217711.25843810837
2358,198131.05050403049
2359,189118.9320526158
2360,131765.56191959305
2361,116064.39884074108
2362,162908.3127417134
2363,205201.9464815472
2364,314221.1355576426
2365,186387.6059116706
2366,131972.66420901855
2367,229219.8690707067
2368,148103.9563266077
2369,118095.99330479724
2370,149934.5389396272
2371,218733.35296632454
2372,257604.2553969932
2373,312284.39276288357
2374,193457.43950020062
2375,173234.94684045715
2376,146411.839661916
2377,161299.57264431487
2378,115828.03163840073
2379,325355.2830636838
2380,292190.24904203427
2381,168258.2979390345
2382,219226.6367450206
2383,122988.33250556221
2384,201206.14626754294
2385,307633.5409074821
2386,324186.4076620176
2387,150089.651490365
2388,185170.80457805353
2389,114705.38052641212
2390,142433.91464126986
2391,218891.7817979466
2392,185077.51152410655
2393,134810.14982296815
2394,134080.16624252245
2395,101563.80564654013
2396,264576.06908610347
2397,120372.35888031751
2398,311678.81594945793
2399,100974.75260015781
2400,135387.3049674362
2401,148444.44386168427
2402,164348.6020665642
2403,250765.36341100335
2404,107222.47225284282
